fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,839.4,1,0,0,25.0
2023-01-02,100,849.5,0,0,0,25.0
2023-01-03,100,856.6,0,0,0,25.0
2023-01-04,100,858.8,0,0,0,25.0
2023-01-05,100,850.4,0,0,0,25.0
2023-01-06,100,837.3,0,0,2,25.0
2023-01-07,100,846.9,0,0,0,25.0
2023-01-08,100,857.6,0,0,0,25.0
2023-01-09,100,857.8,0,0,0,25.0
2023-01-10,100,850.1,0,0,2,25.0
2023-01-11,100,859.8,0,0,0,25.0
2023-01-12,100,862.3,0,0,0,25.0
2023-01-13,100,858.5,0,0,0,25.0
2023-01-14,100,857.4,0,0,0,25.0
2023-01-15,100,857.5,0,0,1,25.0
2023-01-16,100,855.1,0,0,0,25.0
2023-01-17,100,852.6,0,0,0,25.0
2023-01-18,100,848.2,0,0,0,25.0
2023-01-19,100,853.1,0,0,1,25.0
2023-01-20,100,857.2,0,1,0,25.0
2023-01-21,100,851.4,0,0,0,25.0
2023-01-22,100,853.3,0,0,0,25.0
2023-01-23,100,856.9,0,0,0,25.0
2023-01-24,100,845.9,0,0,0,25.0
2023-01-25,100,843.6,0,2,0,25.0
2023-01-26,100,834.5,0,0,1,25.0
2023-01-27,100,838.5,0,1,1,25.0
2023-01-28,100,835.9,0,0,0,25.0
2023-01-29,100,832.9,0,0,0,25.0
2023-01-30,100,834.7,0,1,0,25.0
2023-01-31,100,834.0,0,0,0,25.0
2023-02-01,100,836.9,0,0,0,25.0
2023-02-02,100,834.3,0,0,0,25.0
2023-02-03,100,843.3,0,0,0,25.0
2023-02-04,100,835.4,0,0,0,25.0
2023-02-05,100,830.3,0,0,0,25.0
2023-02-06,100,829.8,0,0,0,25.0
2023-02-07,100,829.6,0,1,2,25.0
2023-02-08,100,821.4,0,0,0,25.0
2023-02-09,100,811.5,0,0,0,25.0
2023-02-10,100,815.7,0,0,0,25.0
2023-02-11,100,810.7,0,0,0,25.0
2023-02-12,100,809.0,0,0,0,25.0
2023-02-13,100,801.2,0,0,0,25.0
2023-02-14,100,808.6,0,1,0,25.0
2023-02-15,100,819.4,0,2,1,25.0
2023-02-16,100,826.5,0,1,0,25.0
2023-02-17,100,839.5,0,0,0,25.0
2023-02-18,100,841.4,0,1,0,25.0
2023-02-19,100,838.2,0,1,0,25.0
2023-02-20,100,828.4,0,1,0,25.0
2023-02-21,100,817.7,0,0,0,25.0
2023-02-22,100,835.8,0,0,0,25.0
2023-02-23,100,844.0,0,0,0,25.0
