fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,6677.8,1,0,0,35.0
2023-01-02,100,6662.2,0,0,2,35.0
2023-01-03,100,6669.6,0,0,0,35.0
2023-01-04,100,6725.5,0,0,1,35.0
2023-01-05,100,6780.6,0,0,0,35.0
2023-01-06,100,6872.7,0,0,0,35.0
2023-01-07,100,6940.0,0,0,0,35.0
2023-01-08,100,7029.1,0,0,0,35.0
2023-01-09,100,7122.3,0,0,0,35.0
2023-01-10,100,7193.1,0,0,0,35.0
2023-01-11,100,7270.4,0,0,0,35.0
2023-01-12,100,7359.6,0,0,0,35.0
2023-01-13,100,7447.4,0,0,1,35.0
2023-01-14,100,7538.7,0,0,1,35.0
2023-01-15,100,7508.8,0,0,0,35.0
2023-01-16,100,7506.8,0,0,0,35.0
2023-01-17,100,7492.9,0,0,0,35.0
2023-01-18,100,7520.7,0,0,0,35.0
2023-01-19,100,7553.5,0,0,0,35.0
2023-01-20,100,7711.4,0,1,0,35.0
2023-01-21,100,7908.7,0,0,0,35.0
2023-01-22,100,7977.7,0,0,0,35.0
2023-01-23,100,8077.0,0,0,0,35.0
2023-01-24,100,8229.0,0,0,0,35.0
2023-01-25,100,8389.3,0,2,0,35.0
2023-01-26,100,8500.9,0,0,0,35.0
2023-01-27,100,8500.4,0,1,0,35.0
2023-01-28,100,8435.2,0,0,0,35.0
2023-01-29,100,8307.5,0,0,1,35.0
2023-01-30,100,8127.0,0,1,0,-9
2023-01-31,100,7923.5,0,0,0,35.0
2023-02-01,100,7751.5,0,0,1,35.0
2023-02-02,100,7580.2,0,0,0,35.0
2023-02-03,100,7445.9,0,0,1,35.0
2023-02-04,100,7306.0,0,0,0,35.0
2023-02-05,100,7197.3,0,0,0,35.0
2023-02-06,100,7140.9,0,0,0,35.0
2023-02-07,100,7156.7,0,1,0,35.0
2023-02-08,100,7141.8,0,0,0,35.0
2023-02-09,100,7111.9,0,0,0,35.0
2023-02-10,100,7101.2,0,0,1,35.0
2023-02-11,100,7125.9,0,0,0,35.0
2023-02-12,0,-9,0,0,0,-9
2023-02-13,100.0,7199.3,1,0,0,35.0
2023-02-14,100,7223.6,0,1,2,35.0
2023-02-15,100,7242.4,0,2,2,35.0
2023-02-16,100,7318.7,0,1,2,35.0
2023-02-17,100,7366.0,0,0,0,35.0
2023-02-18,100,7414.0,0,1,0,35.0
2023-02-19,100,7392.0,0,1,0,35.0
2023-02-20,100,7339.9,0,1,0,35.0
2023-02-21,100,7259.6,0,0,1,35.0
2023-02-22,100,7207.5,0,0,1,35.0
2023-02-23,100,7200.7,0,0,0,35.0
2023-02-24,100,7151.7,0,0,0,35.0
2023-02-25,100,7037.6,0,1,0,35.0
2023-02-26,100,6919.9,0,1,0,35.0
